product_id,product_category_name,product_name_lgt,product_weight_lg,product_length_cm,product_height_cm,product_width_cm
PROD_000101,home_furniture,Product 101,9.29,22.9,21.6,6.5
PROD_000102,garden,Product 102,19.83,7.0,13.1,20.6
PROD_000103,sports,Product 103,19.42,17.5,28.7,7.5
PROD_000104,baby,Product 104,18.85,41.8,29.1,30.5
PROD_000105,garden,Product 105,15.7,17.8,13.0,26.3
PROD_000106,home_furniture,Product 106,7.16,41.8,25.9,29.7
PROD_000107,electronics,Product 107,8.3,28.9,23.6,18.1
PROD_000108,sports,Product 108,11.04,44.6,10.7,17.9
PROD_000109,health,Product 109,16.63,30.9,8.5,6.6
PROD_000110,computers,Product 110,1.47,6.3,14.8,17.2
PROD_000111,bed_bath_table,Product 111,8.54,35.4,23.9,37.5
PROD_000112,health,Product 112,1.74,7.0,28.9,18.3
PROD_000113,garden,Product 113,10.34,25.3,23.4,34.1
PROD_000114,phones,Product 114,17.99,46.8,25.9,34.5
PROD_000115,toys,Product 115,15.67,12.4,18.9,18.1
PROD_000116,bed_bath_table,Product 116,4.63,22.5,25.4,27.1
PROD_000117,food,Product 117,19.52,37.8,24.0,8.3
PROD_000118,health,Product 118,13.38,44.7,12.6,8.6
PROD_000119,fashion,Product 119,0.31,35.2,17.5,6.7
PROD_000120,fashion,Product 120,5.18,16.6,24.5,25.3
PROD_000121,home_furniture,Product 121,5.29,35.4,3.3,19.9
PROD_000122,sports,Product 122,1.48,18.4,24.6,24.2
PROD_000123,books,Product 123,19.2,37.3,7.0,23.2
PROD_000124,beauty,Product 124,9.62,47.9,16.4,17.3
PROD_000125,electronics,Product 125,17.93,37.5,24.6,28.7
PROD_000126,garden,Product 126,6.51,43.8,9.1,31.5
PROD_000127,electronics,Product 127,2.59,5.1,8.9,5.5
PROD_000128,books,Product 128,9.54,37.3,13.3,12.3
PROD_000129,computers,Product 129,2.37,42.3,27.0,30.0
PROD_000130,fashion,Product 130,9.77,6.8,2.0,18.5
PROD_000131,health,Product 131,18.41,44.2,27.2,28.2
PROD_000132,computers,Product 132,10.46,16.6,6.3,17.1
PROD_000133,baby,Product 133,12.37,34.9,29.7,18.7
PROD_000134,home_furniture,Product 134,3.22,41.0,28.7,10.6
PROD_000135,health,Product 135,0.97,34.8,15.9,14.0
PROD_000136,computers,Product 136,2.31,9.2,16.4,26.2
PROD_000137,books,Product 137,12.01,31.8,15.5,20.2
PROD_000138,home_furniture,Product 138,1.99,29.7,19.8,32.1
PROD_000139,electronics,Product 139,7.58,45.5,4.5,34.8
PROD_000140,toys,Product 140,11.05,23.2,2.9,24.0
PROD_000141,fashion,Product 141,7.83,19.4,3.6,31.5
PROD_000142,electronics,Product 142,3.36,38.7,14.4,15.7
PROD_000143,auto,Product 143,5.55,23.6,9.7,19.5
PROD_000144,bed_bath_table,Product 144,18.57,34.1,19.4,29.9
PROD_000145,toys,Product 145,13.55,34.1,29.8,18.5
PROD_000146,sports,Product 146,9.97,45.0,12.8,25.6
PROD_000147,books,Product 147,0.35,31.9,18.1,11.5
PROD_000148,phones,Product 148,19.85,27.6,13.6,26.0
PROD_000149,sports,Product 149,13.46,11.2,25.7,35.2
PROD_000150,beauty,Product 150,6.41,10.2,27.3,35.4
PROD_000151,home_furniture,Product 151,17.6,11.9,26.6,30.4
PROD_000152,auto,Product 152,5.24,12.7,29.3,31.1
PROD_000153,fashion,Product 153,10.93,33.7,2.8,24.5
PROD_000154,auto,Product 154,12.76,38.3,25.5,25.5
PROD_000155,books,Product 155,4.5,28.8,23.0,9.7
PROD_000156,baby,Product 156,19.57,42.3,8.4,20.5
PROD_000157,baby,Product 157,14.99,49.6,28.8,20.8
PROD_000158,computers,Product 158,11.2,41.9,6.1,38.5
PROD_000159,phones,Product 159,3.69,36.3,21.0,20.1
PROD_000160,sports,Product 160,1.17,29.0,8.3,24.2
PROD_000161,beauty,Product 161,6.47,25.2,14.1,23.7
PROD_000162,baby,Product 162,15.09,8.8,22.1,27.3
PROD_000163,beauty,Product 163,5.46,23.0,17.8,31.2
PROD_000164,bed_bath_table,Product 164,10.84,46.0,14.0,12.9
PROD_000165,auto,Product 165,14.59,41.4,11.1,23.5
PROD_000166,phones,Product 166,2.25,14.7,25.5,33.9
PROD_000167,home_furniture,Product 167,13.74,26.0,6.0,21.2
PROD_000168,sports,Product 168,1.93,41.8,14.0,14.7
PROD_000169,books,Product 169,19.31,8.0,27.3,27.9
PROD_000170,fashion,Product 170,9.82,22.4,25.7,33.8
PROD_000171,computers,Product 171,3.1,43.3,13.2,7.2
PROD_000172,books,Product 172,6.91,23.2,23.4,32.2
PROD_000173,garden,Product 173,8.33,8.5,25.0,33.8
PROD_000174,beauty,Product 174,15.19,29.4,26.9,21.2
PROD_000175,garden,Product 175,14.89,43.8,17.2,39.4
PROD_000176,sports,Product 176,12.28,31.6,7.7,32.5
PROD_000177,sports,Product 177,2.21,15.2,9.1,32.1
PROD_000178,fashion,Product 178,3.12,22.3,10.3,31.2
PROD_000179,sports,Product 179,1.97,25.3,18.6,10.3
PROD_000180,baby,Product 180,11.59,31.1,2.9,12.6
PROD_000181,garden,Product 181,17.56,39.2,19.8,21.2
PROD_000182,electronics,Product 182,8.73,9.4,12.2,14.2
PROD_000183,books,Product 183,3.3,45.0,10.3,19.5
PROD_000184,electronics,Product 184,11.21,5.6,26.6,36.1
PROD_000185,food,Product 185,16.25,21.7,14.9,33.9
PROD_000186,fashion,Product 186,14.86,6.2,4.7,27.1
PROD_000187,computers,Product 187,17.64,22.7,25.1,35.0
PROD_000188,fashion,Product 188,5.63,28.7,3.3,32.4
PROD_000189,health,Product 189,3.96,28.0,22.3,20.0
PROD_000190,baby,Product 190,17.61,12.5,23.7,12.0
PROD_000191,health,Product 191,13.19,34.1,11.9,23.0
PROD_000192,beauty,Product 192,6.29,7.0,25.1,30.8
PROD_000193,home_furniture,Product 193,14.87,39.3,16.4,20.3
PROD_000194,fashion,Product 194,16.32,47.6,15.0,28.3
PROD_000195,food,Product 195,12.34,20.3,3.3,8.3
PROD_000196,toys,Product 196,13.79,28.3,10.1,31.2
PROD_000197,phones,Product 197,7.57,22.1,28.1,33.4
PROD_000198,food,Product 198,10.82,5.3,13.0,29.7
PROD_000199,sports,Product 199,10.53,22.4,17.3,38.9
PROD_000200,home_furniture,Product 200,16.98,40.6,16.9,33.9
PROD_000201,food,Product 201,16.82,31.8,18.5,36.6
PROD_000202,fashion,Product 202,16.67,9.6,3.7,37.7
PROD_000203,health,Product 203,0.32,43.1,12.1,33.0
PROD_000204,beauty,Product 204,15.02,28.9,22.2,28.6
PROD_000205,health,Product 205,15.2,42.9,7.6,5.2
PROD_000206,beauty,Product 206,13.6,31.1,7.7,21.3
PROD_000207,sports,Product 207,15.15,30.2,2.3,25.0
PROD_000208,garden,Product 208,16.86,9.7,14.2,15.6
PROD_000209,phones,Product 209,9.46,12.5,26.7,16.1
PROD_000210,garden,Product 210,10.09,48.7,3.5,38.6
PROD_000211,bed_bath_table,Product 211,2.58,15.3,7.4,36.2
PROD_000212,fashion,Product 212,7.77,49.0,10.7,34.7
PROD_000213,fashion,Product 213,12.9,28.9,22.5,19.2
PROD_000214,baby,Product 214,15.63,11.1,19.9,5.5
PROD_000215,auto,Product 215,4.42,9.5,13.6,7.8
PROD_000216,home_furniture,Product 216,2.84,14.4,23.3,15.9
PROD_000217,home_furniture,Product 217,13.29,46.7,19.1,5.6
PROD_000218,beauty,Product 218,0.14,23.6,27.1,5.6
PROD_000219,toys,Product 219,3.65,22.8,24.9,37.1
PROD_000220,sports,Product 220,0.68,19.1,9.1,29.7
PROD_000221,beauty,Product 221,3.42,11.6,9.6,15.8
PROD_000222,food,Product 222,3.71,27.0,5.5,9.6
PROD_000223,garden,Product 223,7.81,10.9,11.4,22.9
PROD_000224,electronics,Product 224,8.11,42.6,30.0,5.2
PROD_000225,food,Product 225,17.5,21.7,13.4,37.8
PROD_000226,bed_bath_table,Product 226,10.25,21.9,8.2,19.5
PROD_000227,health,Product 227,14.5,26.3,23.3,19.1
PROD_000228,computers,Product 228,2.17,25.0,17.2,18.7
PROD_000229,auto,Product 229,4.59,49.8,6.2,7.4
PROD_000230,sports,Product 230,14.09,29.5,12.7,27.3
PROD_000231,phones,Product 231,1.15,9.0,13.6,30.7
PROD_000232,phones,Product 232,9.78,32.3,23.1,28.7
PROD_000233,bed_bath_table,Product 233,12.03,11.8,2.6,9.8
PROD_000234,phones,Product 234,12.08,6.4,9.5,25.3
PROD_000235,electronics,Product 235,0.56,48.7,16.5,24.9
PROD_000236,health,Product 236,6.51,39.8,9.5,35.4
PROD_000237,bed_bath_table,Product 237,12.77,49.1,19.6,18.3
PROD_000238,computers,Product 238,3.07,26.5,15.5,18.0
PROD_000239,garden,Product 239,13.94,29.0,12.1,26.6
PROD_000240,beauty,Product 240,14.94,12.6,28.6,27.2
PROD_000241,baby,Product 241,19.64,16.1,19.7,21.4
PROD_000242,food,Product 242,4.28,42.7,5.6,20.5
PROD_000243,beauty,Product 243,16.52,21.0,17.7,22.3
PROD_000244,beauty,Product 244,10.45,42.2,23.9,35.1
PROD_000245,electronics,Product 245,7.53,36.9,21.8,21.1
PROD_000246,fashion,Product 246,2.54,13.0,6.8,37.9
PROD_000247,auto,Product 247,14.74,27.8,29.2,22.6
PROD_000248,sports,Product 248,4.79,35.5,14.6,38.2
PROD_000249,toys,Product 249,7.49,15.6,6.5,34.1
PROD_000250,bed_bath_table,Product 250,1.34,42.4,7.0,17.7
PROD_000251,computers,Product 251,16.05,29.5,4.8,35.2
PROD_000252,home_furniture,Product 252,15.36,12.4,24.5,8.9
PROD_000253,beauty,Product 253,14.7,31.2,5.4,37.4
PROD_000254,baby,Product 254,6.06,50.0,5.5,27.1
PROD_000255,toys,Product 255,3.55,11.8,25.8,6.9
PROD_000256,toys,Product 256,12.79,41.8,11.6,27.5
PROD_000257,home_furniture,Product 257,9.97,14.3,2.9,39.1
PROD_000258,health,Product 258,3.65,40.2,3.5,7.4
PROD_000259,books,Product 259,13.75,38.1,6.0,24.4
PROD_000260,food,Product 260,19.82,18.5,8.0,31.2
PROD_000261,beauty,Product 261,14.97,19.7,20.6,33.4
PROD_000262,home_furniture,Product 262,14.83,40.7,6.4,19.5
PROD_000263,electronics,Product 263,19.01,25.8,5.3,12.1
PROD_000264,auto,Product 264,4.14,37.9,23.4,6.5
PROD_000265,home_furniture,Product 265,11.35,11.7,20.8,25.3
PROD_000266,garden,Product 266,19.59,43.4,14.2,20.9
PROD_000267,books,Product 267,3.39,37.0,17.4,38.2
PROD_000268,phones,Product 268,14.04,45.8,10.7,7.1
PROD_000269,fashion,Product 269,11.76,11.0,15.5,29.0
PROD_000270,food,Product 270,11.77,31.7,16.2,5.9
PROD_000271,auto,Product 271,13.98,32.0,12.8,11.0
PROD_000272,sports,Product 272,18.6,20.9,27.4,20.9
PROD_000273,fashion,Product 273,15.67,25.6,2.4,20.9
PROD_000274,computers,Product 274,1.22,6.7,23.9,29.0
PROD_000275,health,Product 275,17.07,38.6,5.5,36.9
PROD_000276,health,Product 276,4.59,29.7,24.3,27.4
PROD_000277,food,Product 277,7.6,7.6,19.2,38.4
PROD_000278,auto,Product 278,9.29,35.6,25.6,35.9
PROD_000279,toys,Product 279,9.67,26.0,4.7,25.5
PROD_000280,beauty,Product 280,8.76,6.6,17.7,34.2
PROD_000281,health,Product 281,18.75,48.6,16.0,27.5
PROD_000282,toys,Product 282,14.15,47.7,21.8,7.7
PROD_000283,electronics,Product 283,12.66,28.1,17.0,30.9
PROD_000284,fashion,Product 284,1.09,9.2,17.1,8.3
PROD_000285,home_furniture,Product 285,18.09,39.0,14.0,25.8
PROD_000286,electronics,Product 286,18.2,27.1,10.6,29.6
PROD_000287,sports,Product 287,15.63,18.6,15.5,7.3
PROD_000288,food,Product 288,0.24,27.1,5.3,13.1
PROD_000289,computers,Product 289,1.24,28.5,28.9,37.0
PROD_000290,computers,Product 290,4.58,30.3,22.0,26.6
PROD_000291,electronics,Product 291,2.71,24.9,28.7,13.6
PROD_000292,bed_bath_table,Product 292,8.04,32.3,8.3,29.2
PROD_000293,phones,Product 293,18.46,46.3,26.6,25.9
PROD_000294,sports,Product 294,9.49,21.3,24.6,22.6
PROD_000295,electronics,Product 295,0.37,37.7,21.0,39.2
PROD_000296,toys,Product 296,5.73,45.3,19.5,28.9
PROD_000297,bed_bath_table,Product 297,0.99,25.5,10.9,18.1
PROD_000298,phones,Product 298,0.82,25.0,24.9,33.0
PROD_000299,beauty,Product 299,5.59,32.1,16.0,36.0
PROD_000300,sports,Product 300,5.58,31.6,4.0,9.4
PROD_000301,beauty,Product 301,15.76,41.3,10.8,12.0
PROD_000302,bed_bath_table,Product 302,19.5,26.4,28.2,12.6
PROD_000303,auto,Product 303,7.49,49.8,25.8,29.2
PROD_000304,health,Product 304,8.63,7.7,29.5,26.1
PROD_000305,computers,Product 305,16.91,5.1,19.6,26.7
PROD_000306,health,Product 306,5.44,33.8,8.9,37.9
PROD_000307,home_furniture,Product 307,3.21,18.4,6.6,32.2
PROD_000308,toys,Product 308,17.08,15.8,7.2,9.5
PROD_000309,food,Product 309,1.03,19.0,2.6,17.2
PROD_000310,toys,Product 310,12.43,16.5,12.9,20.2
PROD_000311,food,Product 311,11.28,6.4,7.4,18.9
PROD_000312,toys,Product 312,6.98,48.7,13.5,28.4
PROD_000313,phones,Product 313,6.37,14.9,28.2,36.2
PROD_000314,home_furniture,Product 314,15.46,38.0,14.1,15.7
PROD_000315,computers,Product 315,1.82,39.3,26.6,24.3
PROD_000316,baby,Product 316,4.81,46.8,19.0,32.6
PROD_000317,garden,Product 317,14.68,6.4,8.9,19.6
PROD_000318,sports,Product 318,11.01,44.2,12.0,10.9
PROD_000319,garden,Product 319,2.65,28.7,4.3,21.6
PROD_000320,fashion,Product 320,17.65,33.5,11.3,6.9
PROD_000321,baby,Product 321,7.93,34.0,21.0,38.0
PROD_000322,sports,Product 322,16.57,41.9,4.0,7.6
PROD_000323,auto,Product 323,15.78,20.0,7.8,20.3
PROD_000324,electronics,Product 324,12.53,38.0,12.7,23.5
PROD_000325,garden,Product 325,9.94,28.8,29.5,39.5
PROD_000326,beauty,Product 326,19.59,40.7,24.0,10.8
PROD_000327,garden,Product 327,2.98,49.6,22.5,9.0
PROD_000328,baby,Product 328,14.53,14.0,5.3,5.3
PROD_000329,electronics,Product 329,3.9,49.8,23.9,10.4
PROD_000330,beauty,Product 330,6.83,9.0,24.0,12.3
PROD_000331,phones,Product 331,6.24,5.1,18.8,27.1
PROD_000332,beauty,Product 332,18.95,7.0,29.7,12.7
PROD_000333,toys,Product 333,19.35,20.4,11.1,5.7
PROD_000334,books,Product 334,3.74,33.5,28.4,33.9
PROD_000335,baby,Product 335,0.54,8.1,27.6,17.8
PROD_000336,health,Product 336,14.43,5.3,2.3,17.4
PROD_000337,auto,Product 337,8.42,47.2,14.6,15.6
PROD_000338,food,Product 338,1.87,42.0,29.4,39.1
PROD_000339,health,Product 339,13.71,41.4,4.9,11.0
PROD_000340,garden,Product 340,10.95,44.8,17.3,36.4
PROD_000341,food,Product 341,19.61,36.5,29.4,32.2
PROD_000342,books,Product 342,4.63,9.7,17.6,7.7
PROD_000343,auto,Product 343,8.14,23.0,7.3,39.5
PROD_000344,electronics,Product 344,10.9,37.5,18.3,14.5
PROD_000345,garden,Product 345,15.85,17.6,7.7,8.5
PROD_000346,bed_bath_table,Product 346,11.02,35.9,16.6,34.0
PROD_000347,bed_bath_table,Product 347,12.3,6.1,4.1,29.7
PROD_000348,computers,Product 348,4.6,18.8,19.0,26.6
PROD_000349,computers,Product 349,16.95,29.7,16.5,10.5
PROD_000350,baby,Product 350,8.63,33.4,22.7,21.7
PROD_000351,health,Product 351,2.91,31.0,19.7,32.3
PROD_000352,toys,Product 352,13.32,36.4,17.4,15.6
PROD_000353,garden,Product 353,4.4,5.3,21.3,15.9
PROD_000354,computers,Product 354,2.04,9.5,6.0,5.1
PROD_000355,phones,Product 355,17.25,44.1,18.7,11.1
PROD_000356,baby,Product 356,9.26,35.7,6.8,35.6
PROD_000357,toys,Product 357,15.01,10.1,27.9,20.5
PROD_000358,health,Product 358,5.88,42.9,3.9,39.4
PROD_000359,fashion,Product 359,15.76,15.9,14.1,18.8
PROD_000360,baby,Product 360,2.33,26.5,21.5,30.0
PROD_000361,fashion,Product 361,7.18,11.5,14.8,14.9
PROD_000362,home_furniture,Product 362,19.56,37.0,4.6,17.7
PROD_000363,health,Product 363,15.9,35.0,17.5,11.7
PROD_000364,books,Product 364,10.0,14.5,20.0,17.1
PROD_000365,sports,Product 365,6.86,43.9,21.7,24.2
PROD_000366,health,Product 366,17.46,23.1,12.5,39.7
PROD_000367,health,Product 367,10.94,18.2,17.8,28.2
PROD_000368,baby,Product 368,15.19,11.9,14.6,12.0
PROD_000369,fashion,Product 369,15.11,17.0,20.8,6.6
PROD_000370,computers,Product 370,0.46,6.0,18.3,9.4
PROD_000371,books,Product 371,2.61,31.2,16.7,24.7
PROD_000372,auto,Product 372,13.23,42.9,9.0,31.8
PROD_000373,phones,Product 373,3.32,29.7,2.1,37.9
PROD_000374,bed_bath_table,Product 374,5.18,14.9,6.9,5.6
PROD_000375,health,Product 375,18.94,6.5,5.3,23.3
PROD_000376,phones,Product 376,11.25,14.7,14.6,21.5
PROD_000377,home_furniture,Product 377,15.04,23.7,19.1,28.0
PROD_000378,phones,Product 378,11.2,39.2,8.0,24.6
PROD_000379,toys,Product 379,11.1,13.5,28.3,29.0
PROD_000380,auto,Product 380,1.97,37.4,2.2,28.0
PROD_000381,sports,Product 381,6.94,44.0,23.6,9.1
PROD_000382,electronics,Product 382,5.72,25.4,19.5,33.0
PROD_000383,food,Product 383,7.88,42.0,12.5,9.3
PROD_000384,beauty,Product 384,15.99,30.0,3.4,29.4
PROD_000385,baby,Product 385,7.5,33.7,19.6,19.6
PROD_000386,computers,Product 386,9.09,28.7,12.8,23.0
PROD_000387,computers,Product 387,8.01,25.8,28.2,36.6
PROD_000388,home_furniture,Product 388,1.96,15.6,17.2,36.1
PROD_000389,baby,Product 389,8.88,18.6,28.3,33.6
PROD_000390,home_furniture,Product 390,3.99,18.0,8.2,22.9
PROD_000391,baby,Product 391,3.82,30.3,22.3,30.8
PROD_000392,beauty,Product 392,1.97,10.4,19.3,23.0
PROD_000393,health,Product 393,7.2,46.3,22.7,35.4
PROD_000394,health,Product 394,15.17,37.4,8.0,19.1
PROD_000395,health,Product 395,5.6,23.1,20.6,39.0
PROD_000396,toys,Product 396,6.32,12.1,15.9,37.6
PROD_000397,baby,Product 397,12.89,44.7,22.8,31.0
PROD_000398,books,Product 398,4.0,42.1,11.2,14.8
PROD_000399,baby,Product 399,17.95,37.5,26.9,9.6
PROD_000400,health,Product 400,10.45,17.2,4.4,34.9
PROD_000401,electronics,Product 401,9.01,23.1,24.6,10.8
PROD_000402,sports,Product 402,11.2,9.6,26.1,34.9
PROD_000403,toys,Product 403,3.4,13.5,24.9,22.2
PROD_000404,sports,Product 404,12.31,40.2,16.4,19.2
PROD_000405,garden,Product 405,7.33,37.2,14.3,36.6
PROD_000406,computers,Product 406,17.95,31.7,29.9,26.1
PROD_000407,baby,Product 407,3.46,45.3,8.4,25.2
PROD_000408,computers,Product 408,10.19,31.2,17.3,24.6
PROD_000409,auto,Product 409,12.0,26.0,20.8,18.0
PROD_000410,home_furniture,Product 410,0.76,20.3,21.6,32.5
PROD_000411,computers,Product 411,7.34,47.3,7.7,13.8
PROD_000412,phones,Product 412,14.68,8.7,20.3,37.9
PROD_000413,sports,Product 413,16.43,46.9,24.9,36.3
PROD_000414,computers,Product 414,6.33,42.2,3.4,16.8
PROD_000415,phones,Product 415,15.99,10.8,27.5,30.5
PROD_000416,phones,Product 416,19.36,30.4,2.8,25.1
PROD_000417,food,Product 417,17.15,44.0,12.0,16.8
PROD_000418,books,Product 418,2.44,30.7,2.4,39.6
PROD_000419,fashion,Product 419,14.82,45.8,4.2,5.9
PROD_000420,computers,Product 420,6.46,47.4,27.5,13.8
PROD_000421,sports,Product 421,19.77,24.0,11.9,23.2
PROD_000422,books,Product 422,9.76,22.0,13.9,23.3
PROD_000423,sports,Product 423,2.54,47.1,8.0,25.6
PROD_000424,sports,Product 424,14.53,35.4,18.7,31.3
PROD_000425,beauty,Product 425,6.53,10.2,18.7,26.8
PROD_000426,toys,Product 426,19.94,6.9,12.4,26.0
PROD_000427,baby,Product 427,19.6,30.4,11.3,6.9
PROD_000428,phones,Product 428,13.16,46.9,26.8,18.2
PROD_000429,phones,Product 429,2.68,43.0,12.7,13.1
PROD_000430,electronics,Product 430,13.77,35.4,15.8,14.3
PROD_000431,health,Product 431,1.95,11.3,9.9,24.4
PROD_000432,toys,Product 432,0.68,16.4,24.0,12.0
PROD_000433,home_furniture,Product 433,16.48,44.4,13.1,15.3
PROD_000434,sports,Product 434,4.27,13.2,16.4,13.3
PROD_000435,books,Product 435,7.64,17.5,9.1,38.2
PROD_000436,electronics,Product 436,19.47,10.8,29.7,38.1
PROD_000437,garden,Product 437,6.8,35.4,10.2,26.3
PROD_000438,electronics,Product 438,6.0,47.5,23.6,37.4
PROD_000439,garden,Product 439,18.37,17.1,14.0,32.5
PROD_000440,auto,Product 440,2.3,26.4,7.8,25.6
PROD_000441,home_furniture,Product 441,15.22,33.5,24.4,5.2
PROD_000442,fashion,Product 442,19.76,50.0,11.3,32.0
