order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD_000103,1,voucher,1,573.54
ORD_000104,1,voucher,10,939.87
ORD_000105,1,credit_card,3,176.06
ORD_000106,1,credit_card,1,793.38
ORD_000107,1,boleto,1,1367.4
ORD_000108,1,credit_card,3,1162.02
ORD_000109,1,boleto,2,375.81
ORD_000110,1,debit_card,4,463.01
ORD_000111,1,credit_card,3,160.95
ORD_000112,1,boleto,4,387.49
ORD_000113,1,boleto,6,1713.06
ORD_000114,1,credit_card,3,1766.9
ORD_000115,1,credit_card,5,168.1
ORD_000116,1,debit_card,1,1122.67
ORD_000117,1,credit_card,12,1123.02
ORD_000118,1,debit_card,3,1249.74
ORD_000119,1,credit_card,4,640.31
ORD_000120,1,credit_card,3,711.9
ORD_000121,1,voucher,5,1278.57
ORD_000122,1,credit_card,4,808.16
ORD_000123,1,credit_card,2,751.13
ORD_000124,1,credit_card,2,1511.25
ORD_000125,1,credit_card,5,977.7
ORD_000126,1,credit_card,3,1606.29
ORD_000127,1,credit_card,6,407.15
ORD_000128,1,debit_card,3,493.79
ORD_000129,1,voucher,2,222.87
ORD_000130,1,credit_card,2,328.02
ORD_000131,1,credit_card,10,289.81
ORD_000132,1,boleto,1,532.35
ORD_000133,1,debit_card,3,1019.14
ORD_000134,1,credit_card,3,821.09
ORD_000135,1,credit_card,1,1146.98
ORD_000136,1,credit_card,1,1466.01
ORD_000137,1,credit_card,2,984.85
ORD_000138,1,voucher,1,1348.12
ORD_000139,1,credit_card,10,44.65
ORD_000140,1,voucher,1,252.9
ORD_000141,1,debit_card,4,1319.69
ORD_000142,1,credit_card,3,1594.12
ORD_000143,1,debit_card,4,188.6
ORD_000144,1,credit_card,3,210.43
ORD_000145,1,credit_card,5,1056.88
ORD_000146,1,credit_card,1,333.63
ORD_000147,1,boleto,6,640.4
ORD_000148,1,credit_card,4,1255.6
ORD_000149,1,credit_card,2,1184.67
ORD_000150,1,debit_card,4,828.03
ORD_000151,1,credit_card,2,929.54
ORD_000152,1,credit_card,2,1132.04
ORD_000153,1,boleto,1,833.35
ORD_000154,1,credit_card,1,950.33
ORD_000155,1,credit_card,10,1201.83
ORD_000156,1,voucher,10,127.22
ORD_000157,1,boleto,10,364.62
ORD_000158,1,credit_card,4,1095.72
ORD_000159,1,debit_card,4,1361.72
ORD_000160,1,debit_card,2,450.6
ORD_000161,1,credit_card,1,1178.26
ORD_000162,1,credit_card,5,69.13
ORD_000163,1,credit_card,3,1274.56
ORD_000164,1,voucher,1,1019.68
ORD_000165,1,boleto,3,1076.36
ORD_000166,1,credit_card,1,435.92
ORD_000167,1,credit_card,1,432.26
ORD_000168,1,debit_card,3,688.78
ORD_000169,1,boleto,2,164.86
ORD_000170,1,credit_card,6,771.6
ORD_000171,1,credit_card,2,1006.34
ORD_000172,1,debit_card,1,1355.61
ORD_000173,1,boleto,2,754.96
ORD_000174,1,credit_card,6,690.32
ORD_000175,1,credit_card,6,235.73
ORD_000176,1,voucher,2,384.05
ORD_000177,1,credit_card,1,1159.07
ORD_000178,1,credit_card,1,653.33
ORD_000179,1,voucher,6,1242.75
ORD_000180,1,boleto,5,1254.63
ORD_000181,1,voucher,4,1371.95
ORD_000182,1,credit_card,1,1628.45
ORD_000183,1,debit_card,1,645.47
ORD_000184,1,debit_card,1,630.66
ORD_000185,1,credit_card,3,1006.92
ORD_000186,1,voucher,1,580.95
ORD_000187,1,credit_card,2,643.71
ORD_000188,1,credit_card,1,602.91
ORD_000189,1,credit_card,4,198.37
ORD_000190,1,debit_card,10,595.74
ORD_000191,1,boleto,1,585.36
ORD_000192,1,voucher,12,1098.3
ORD_000193,1,voucher,3,1381.79
ORD_000194,1,credit_card,1,197.48
ORD_000195,1,credit_card,2,432.17
ORD_000196,1,credit_card,12,1599.35
ORD_000197,1,credit_card,1,800.77
ORD_000198,1,voucher,3,375.89
ORD_000199,1,boleto,10,914.17
ORD_000200,1,debit_card,2,379.22
ORD_000201,1,voucher,3,899.52
ORD_000202,1,credit_card,1,1312.78
ORD_000203,1,boleto,5,265.35
ORD_000204,1,credit_card,5,1235.37
ORD_000205,1,credit_card,2,1157.25
ORD_000206,1,credit_card,4,1095.03
ORD_000207,1,credit_card,2,682.77
ORD_000208,1,boleto,12,1795.48
ORD_000209,1,credit_card,1,1013.18
ORD_000210,1,credit_card,10,1569.77
ORD_000211,1,credit_card,1,395.31
ORD_000212,1,credit_card,1,1097.38
ORD_000213,1,boleto,2,458.55
ORD_000214,1,credit_card,6,1345.2
ORD_000215,1,voucher,1,1211.07
ORD_000216,1,credit_card,1,402.32
ORD_000217,1,credit_card,5,692.75
ORD_000218,1,credit_card,12,1928.68
ORD_000219,1,voucher,4,1323.84
ORD_000220,1,debit_card,6,587.24
ORD_000221,1,credit_card,1,1464.29
ORD_000222,1,credit_card,1,461.67
ORD_000223,1,credit_card,3,139.57
ORD_000224,1,voucher,1,513.81
ORD_000225,1,credit_card,5,290.43
ORD_000226,1,voucher,3,141.19
ORD_000227,1,credit_card,4,914.86
ORD_000228,1,credit_card,2,1694.07
ORD_000229,1,boleto,2,1080.7
ORD_000230,1,boleto,4,343.22
ORD_000231,1,credit_card,1,701.13
ORD_000232,1,voucher,4,45.36
ORD_000233,1,voucher,1,989.99
ORD_000234,1,boleto,3,630.11
ORD_000235,1,credit_card,5,880.66
ORD_000236,1,credit_card,1,542.36
ORD_000237,1,credit_card,12,659.5
ORD_000238,1,credit_card,2,1193.44
ORD_000239,1,credit_card,2,417.46
ORD_000240,1,voucher,1,1454.1
ORD_000241,1,voucher,3,1207.22
ORD_000242,1,boleto,2,677.43
ORD_000243,1,credit_card,2,494.58
ORD_000244,1,credit_card,4,1216.25
ORD_000245,1,debit_card,5,803.97
ORD_000246,1,credit_card,1,425.69
ORD_000247,1,boleto,4,1034.59
ORD_000248,1,credit_card,1,696.45
ORD_000249,1,credit_card,2,498.67
ORD_000250,1,credit_card,2,1171.47
ORD_000251,1,credit_card,1,814.66
ORD_000252,1,credit_card,4,629.71
ORD_000253,1,credit_card,1,535.87
ORD_000254,1,debit_card,12,433.07
ORD_000255,1,credit_card,6,927.27
ORD_000256,1,debit_card,2,1214.44
ORD_000257,1,debit_card,1,1392.41
ORD_000258,1,voucher,2,883.4
ORD_000259,1,credit_card,1,621.19
ORD_000260,1,voucher,10,1286.61
ORD_000261,1,debit_card,5,892.8
ORD_000262,1,boleto,6,907.33
ORD_000263,1,boleto,2,636.81
ORD_000264,1,credit_card,10,433.84
ORD_000265,1,credit_card,1,748.66
ORD_000266,1,credit_card,1,425.73
ORD_000267,1,credit_card,5,477.58
ORD_000268,1,debit_card,1,305.09
ORD_000269,1,credit_card,1,417.55
ORD_000270,1,credit_card,1,46.6
ORD_000271,1,boleto,2,877.22
ORD_000272,1,debit_card,2,463.85
ORD_000273,1,credit_card,5,838.51
ORD_000274,1,credit_card,1,235.09
ORD_000275,1,credit_card,1,574.76
ORD_000276,1,credit_card,3,1304.89
ORD_000277,1,credit_card,1,852.73
ORD_000278,1,credit_card,1,296.04
ORD_000279,1,debit_card,1,1152.75
ORD_000280,1,credit_card,10,460.39
ORD_000281,1,credit_card,12,30.99
ORD_000282,1,debit_card,4,1070.98
ORD_000283,1,boleto,4,815.94
ORD_000284,1,debit_card,3,355.22
ORD_000285,1,credit_card,3,643.69
ORD_000286,1,voucher,1,1063.58
ORD_000287,1,boleto,1,186.1
ORD_000288,1,credit_card,1,266.85
ORD_000289,1,boleto,5,1480.6
ORD_000290,1,boleto,1,1072.54
ORD_000291,1,credit_card,1,862.3
ORD_000292,1,credit_card,2,482.73
ORD_000293,1,boleto,3,447.99
ORD_000294,1,boleto,1,875.36
ORD_000295,1,debit_card,3,1487.35
ORD_000296,1,voucher,2,163.38
ORD_000297,1,voucher,6,812.92
ORD_000298,1,credit_card,2,1453.48
ORD_000299,1,credit_card,2,877.98
ORD_000300,1,credit_card,6,304.12
ORD_000301,1,voucher,2,237.37
ORD_000302,1,credit_card,4,651.42
ORD_000303,1,credit_card,1,411.51
ORD_000304,1,credit_card,1,100.6
ORD_000305,1,credit_card,1,890.08
ORD_000306,1,debit_card,1,725.14
ORD_000307,1,credit_card,3,773.04
ORD_000308,1,debit_card,1,1111.08
ORD_000309,1,debit_card,3,1447.04
ORD_000310,1,voucher,5,614.46
ORD_000311,1,credit_card,1,685.36
ORD_000312,1,credit_card,4,661.51
ORD_000313,1,credit_card,2,1291.75
ORD_000314,1,voucher,2,762.38
ORD_000315,1,voucher,1,910.88
ORD_000316,1,credit_card,2,1210.09
ORD_000317,1,boleto,1,1000.75
ORD_000318,1,boleto,2,565.09
ORD_000319,1,credit_card,3,434.52
ORD_000320,1,credit_card,1,815.55
ORD_000321,1,debit_card,12,1600.74
ORD_000322,1,boleto,3,275.53
ORD_000323,1,credit_card,1,386.8
ORD_000324,1,credit_card,3,601.61
ORD_000325,1,credit_card,1,994.12
ORD_000326,1,voucher,4,1080.12
ORD_000327,1,credit_card,4,1148.65
ORD_000328,1,debit_card,12,138.16
ORD_000329,1,credit_card,2,193.36
ORD_000330,1,credit_card,3,152.97
ORD_000331,1,voucher,3,1074.71
ORD_000332,1,credit_card,3,128.58
ORD_000333,1,credit_card,4,718.43
ORD_000334,1,boleto,10,466.38
ORD_000335,1,credit_card,3,927.77
ORD_000336,1,credit_card,1,189.25
ORD_000337,1,credit_card,6,791.22
ORD_000338,1,credit_card,1,983.77
ORD_000339,1,credit_card,1,246.17
ORD_000340,1,voucher,2,409.05
ORD_000341,1,credit_card,3,1121.15
ORD_000342,1,credit_card,1,489.38
ORD_000343,1,debit_card,1,935.78
ORD_000344,1,credit_card,2,282.23
ORD_000345,1,boleto,4,309.11
ORD_000346,1,boleto,3,442.0
ORD_000347,1,credit_card,3,587.31
ORD_000348,1,credit_card,1,1223.71
ORD_000349,1,credit_card,1,908.41
ORD_000350,1,debit_card,2,838.22
ORD_000351,1,voucher,3,129.5
ORD_000352,1,voucher,4,349.71
ORD_000353,1,credit_card,1,628.8
ORD_000354,1,credit_card,2,357.33
ORD_000355,1,voucher,10,763.48
ORD_000356,1,credit_card,3,593.43
ORD_000357,1,boleto,4,1561.92
ORD_000358,1,credit_card,6,1182.31
ORD_000359,1,credit_card,2,1007.43
ORD_000360,1,credit_card,2,1162.25
ORD_000361,1,credit_card,2,1392.51
ORD_000362,1,credit_card,3,505.56
ORD_000363,1,debit_card,6,1211.58
ORD_000364,1,credit_card,1,278.76
ORD_000365,1,credit_card,2,405.84
ORD_000366,1,credit_card,1,1186.2
ORD_000367,1,credit_card,6,329.94
ORD_000368,1,voucher,1,562.35
ORD_000369,1,credit_card,12,105.41
ORD_000370,1,credit_card,1,92.81
ORD_000371,1,voucher,4,1158.85
ORD_000372,1,credit_card,1,940.24
ORD_000373,1,credit_card,1,822.85
ORD_000374,1,boleto,1,858.19
ORD_000375,1,voucher,3,442.58
ORD_000376,1,debit_card,12,290.09
ORD_000377,1,credit_card,1,729.59
ORD_000378,1,voucher,10,807.16
ORD_000379,1,debit_card,3,753.97
ORD_000380,1,debit_card,4,1678.47
ORD_000381,1,debit_card,1,1015.45
ORD_000382,1,debit_card,4,426.86
ORD_000383,1,boleto,5,1154.93
ORD_000384,1,voucher,10,141.88
ORD_000385,1,boleto,10,147.38
ORD_000386,1,debit_card,10,897.75
ORD_000387,1,credit_card,4,1000.54
ORD_000388,1,credit_card,10,139.76
ORD_000389,1,boleto,10,714.79
ORD_000390,1,debit_card,2,331.84
ORD_000391,1,credit_card,3,644.11
ORD_000392,1,credit_card,10,1659.33
ORD_000393,1,boleto,4,427.52
ORD_000394,1,credit_card,1,1289.41
ORD_000395,1,credit_card,4,24.09
ORD_000396,1,credit_card,1,202.2
ORD_000397,1,credit_card,1,1059.15
ORD_000398,1,debit_card,1,841.16
ORD_000399,1,boleto,1,639.32
ORD_000400,1,debit_card,12,665.5
ORD_000401,1,credit_card,4,494.42
ORD_000402,1,credit_card,3,1246.31
ORD_000403,1,credit_card,3,330.06
ORD_000404,1,credit_card,1,1637.4
ORD_000405,1,boleto,6,1327.57
ORD_000406,1,credit_card,1,955.9
ORD_000407,1,credit_card,5,1332.64
ORD_000408,1,credit_card,1,1252.97
ORD_000409,1,voucher,5,323.4
ORD_000410,1,debit_card,10,572.21
ORD_000411,1,boleto,1,918.35
ORD_000412,1,credit_card,1,879.02
ORD_000413,1,credit_card,1,1467.27
ORD_000414,1,credit_card,6,395.51
ORD_000415,1,credit_card,1,1265.07
ORD_000416,1,debit_card,10,116.53
ORD_000417,1,voucher,1,886.32
ORD_000418,1,boleto,3,1186.27
ORD_000419,1,credit_card,1,1089.7
ORD_000420,1,debit_card,3,786.6
ORD_000421,1,voucher,2,206.06
ORD_000422,1,credit_card,2,521.29
ORD_000423,1,credit_card,1,228.71
ORD_000424,1,credit_card,4,1282.15
ORD_000425,1,boleto,6,648.6
ORD_000426,1,boleto,6,1143.35
ORD_000427,1,credit_card,10,668.47
ORD_000428,1,boleto,2,602.92
ORD_000429,1,credit_card,5,310.73
ORD_000430,1,credit_card,1,594.01
ORD_000431,1,boleto,2,90.04
ORD_000432,1,credit_card,5,805.7
ORD_000433,1,voucher,6,305.88
ORD_000434,1,credit_card,5,1694.53
ORD_000435,1,debit_card,1,826.49
ORD_000436,1,voucher,1,916.96
ORD_000437,1,voucher,10,1545.95
ORD_000438,1,credit_card,6,356.24
ORD_000439,1,credit_card,4,441.4
ORD_000440,1,voucher,10,503.33
ORD_000441,1,credit_card,3,327.92
ORD_000442,1,debit_card,6,538.27
ORD_000443,1,boleto,3,933.42
ORD_000444,1,credit_card,1,1295.74
ORD_000445,1,credit_card,1,1189.64
ORD_000446,1,credit_card,5,468.83
ORD_000447,1,debit_card,2,566.95
ORD_000448,1,credit_card,10,429.02
ORD_000449,1,credit_card,2,721.69
ORD_000450,1,credit_card,2,407.85
ORD_000451,1,boleto,2,376.35
ORD_000452,1,credit_card,1,885.04
ORD_000453,1,credit_card,3,1196.19
ORD_000454,1,credit_card,1,1186.79
ORD_000455,1,debit_card,3,912.02
ORD_000456,1,credit_card,1,806.87
ORD_000457,1,credit_card,1,403.66
ORD_000458,1,credit_card,10,800.48
ORD_000459,1,credit_card,1,795.09
ORD_000460,1,credit_card,10,972.6
ORD_000461,1,boleto,6,629.63
ORD_000462,1,credit_card,3,1646.72
ORD_000463,1,boleto,2,1522.52
ORD_000464,1,credit_card,12,270.72
ORD_000465,1,debit_card,2,945.58
ORD_000466,1,boleto,2,458.27
ORD_000467,1,credit_card,3,1639.04
ORD_000468,1,credit_card,1,971.02
ORD_000469,1,debit_card,1,400.74
ORD_000470,1,credit_card,2,1059.31
ORD_000471,1,boleto,1,1645.81
ORD_000472,1,credit_card,12,1374.67
ORD_000473,1,boleto,12,436.73
ORD_000474,1,voucher,1,1410.21
ORD_000475,1,voucher,1,1118.69
ORD_000476,1,credit_card,4,25.79
ORD_000477,1,credit_card,4,486.24
ORD_000478,1,boleto,12,666.97
ORD_000479,1,debit_card,3,825.98
ORD_000480,1,voucher,6,639.74
ORD_000481,1,boleto,1,609.09
ORD_000482,1,boleto,3,381.37
ORD_000483,1,boleto,1,1453.68
ORD_000484,1,credit_card,3,1020.99
ORD_000485,1,voucher,5,241.1
ORD_000486,1,voucher,6,1004.16
ORD_000487,1,debit_card,5,897.74
ORD_000488,1,credit_card,3,1527.8
ORD_000489,1,boleto,4,1420.98
ORD_000490,1,voucher,6,818.86
ORD_000491,1,credit_card,3,615.71
ORD_000492,1,debit_card,3,474.39
ORD_000493,1,credit_card,2,662.79
ORD_000494,1,credit_card,2,1264.18
ORD_000495,1,boleto,1,1118.6
ORD_000496,1,credit_card,1,840.92
ORD_000497,1,credit_card,1,17.56
ORD_000498,1,debit_card,4,797.48
ORD_000499,1,credit_card,3,1349.13
ORD_000500,1,debit_card,6,1141.35
ORD_000501,1,credit_card,1,1580.47
ORD_000502,1,debit_card,6,1135.73
ORD_000503,1,voucher,3,367.72
ORD_000504,1,credit_card,1,910.55
ORD_000505,1,boleto,1,1305.41
ORD_000506,1,credit_card,4,370.84
ORD_000507,1,credit_card,1,394.3
ORD_000508,1,boleto,10,292.05
ORD_000509,1,voucher,6,231.46
ORD_000510,1,credit_card,1,504.71
ORD_000511,1,debit_card,3,485.71
ORD_000512,1,credit_card,2,388.85
ORD_000513,1,credit_card,3,1025.95
ORD_000514,1,credit_card,1,676.25
ORD_000515,1,credit_card,1,485.23
ORD_000516,1,credit_card,1,418.04
ORD_000517,1,voucher,5,712.73
ORD_000518,1,credit_card,3,794.38
ORD_000519,1,debit_card,10,397.65
ORD_000520,1,debit_card,2,839.17
ORD_000521,1,credit_card,3,1127.43
ORD_000522,1,voucher,1,308.94
ORD_000523,1,boleto,3,677.78
ORD_000524,1,debit_card,2,961.81
ORD_000525,1,credit_card,4,903.07
ORD_000526,1,credit_card,1,805.71
ORD_000527,1,credit_card,10,342.15
ORD_000528,1,voucher,1,974.04
ORD_000529,1,voucher,3,727.29
ORD_000530,1,credit_card,1,180.49
ORD_000531,1,debit_card,5,377.36
ORD_000532,1,credit_card,4,887.17
ORD_000533,1,credit_card,2,1455.68
ORD_000534,1,boleto,1,412.2
ORD_000535,1,voucher,2,836.87
ORD_000536,1,credit_card,1,264.88
ORD_000537,1,voucher,12,340.04
ORD_000538,1,credit_card,1,898.4
ORD_000539,1,credit_card,1,1036.65
ORD_000540,1,credit_card,6,772.53
ORD_000541,1,credit_card,1,879.91
ORD_000542,1,credit_card,1,270.84
ORD_000543,1,credit_card,1,911.69
ORD_000544,1,boleto,2,693.73
ORD_000545,1,voucher,10,285.26
ORD_000546,1,credit_card,2,725.76
ORD_000547,1,credit_card,12,246.56
ORD_000548,1,credit_card,6,975.53
ORD_000549,1,boleto,12,670.57
ORD_000550,1,credit_card,5,856.09
ORD_000551,1,credit_card,5,371.32
ORD_000552,1,boleto,1,1247.74
ORD_000553,1,credit_card,2,868.34
ORD_000554,1,boleto,6,884.92
ORD_000555,1,boleto,2,477.62
ORD_000556,1,credit_card,3,585.0
ORD_000557,1,credit_card,5,644.67
ORD_000558,1,credit_card,2,1501.7
ORD_000559,1,voucher,2,1062.12
ORD_000560,1,boleto,10,1745.37
ORD_000561,1,debit_card,1,522.26
ORD_000562,1,credit_card,2,1296.1
ORD_000563,1,credit_card,1,835.82
ORD_000564,1,credit_card,2,889.96
ORD_000565,1,credit_card,3,590.37
ORD_000566,1,boleto,2,1542.49
ORD_000567,1,credit_card,10,103.07
ORD_000568,1,credit_card,6,630.87
ORD_000569,1,credit_card,6,1054.22
ORD_000570,1,voucher,4,1033.2
ORD_000571,1,credit_card,5,624.71
ORD_000572,1,credit_card,1,1211.89
ORD_000573,1,voucher,3,43.5
ORD_000574,1,credit_card,6,570.81
ORD_000575,1,credit_card,2,254.16
ORD_000576,1,credit_card,6,213.38
ORD_000577,1,credit_card,3,1117.2
ORD_000578,1,credit_card,5,978.37
ORD_000579,1,credit_card,6,174.43
ORD_000580,1,voucher,3,502.94
ORD_000581,1,voucher,1,903.43
ORD_000582,1,credit_card,6,1787.56
ORD_000583,1,debit_card,4,326.5
ORD_000584,1,credit_card,1,1507.54
ORD_000585,1,boleto,1,291.8
ORD_000586,1,boleto,5,1085.68
ORD_000587,1,voucher,4,670.7
ORD_000588,1,credit_card,4,1155.66
ORD_000589,1,debit_card,6,246.64
ORD_000590,1,debit_card,3,386.47
ORD_000591,1,boleto,5,123.16
ORD_000592,1,debit_card,2,487.53
ORD_000593,1,credit_card,4,725.64
ORD_000594,1,debit_card,1,989.28
ORD_000595,1,credit_card,10,796.62
ORD_000596,1,voucher,12,729.66
ORD_000597,1,boleto,10,910.59
ORD_000598,1,credit_card,3,718.99
ORD_000599,1,credit_card,2,667.72
ORD_000600,1,voucher,4,1273.87
ORD_000601,1,boleto,1,736.52
ORD_000602,1,credit_card,1,320.68
ORD_000603,1,credit_card,2,978.83
ORD_000604,1,debit_card,4,449.31
ORD_000605,1,boleto,10,614.61
ORD_000606,1,debit_card,3,63.94
ORD_000607,1,credit_card,3,1058.5
ORD_000608,1,debit_card,5,796.08
ORD_000609,1,credit_card,1,164.05
ORD_000610,1,credit_card,12,918.48
ORD_000611,1,debit_card,1,510.05
ORD_000612,1,debit_card,2,66.14
ORD_000613,1,credit_card,1,1148.44
ORD_000614,1,credit_card,1,609.55
ORD_000615,1,credit_card,10,229.24
ORD_000616,1,credit_card,10,1143.19
ORD_000617,1,credit_card,4,702.49
ORD_000618,1,debit_card,2,821.71
ORD_000619,1,credit_card,3,331.35
ORD_000620,1,debit_card,1,248.33
ORD_000621,1,credit_card,4,302.36
ORD_000622,1,boleto,2,1284.68
ORD_000623,1,debit_card,12,460.02
ORD_000624,1,credit_card,3,1423.36
ORD_000625,1,credit_card,3,1245.71
ORD_000626,1,credit_card,3,322.96
ORD_000627,1,credit_card,1,378.54
ORD_000628,1,boleto,4,1498.71
ORD_000629,1,boleto,6,493.38
ORD_000630,1,voucher,2,465.21
ORD_000631,1,boleto,1,1117.29
ORD_000632,1,credit_card,3,1433.26
ORD_000633,1,credit_card,1,380.7
ORD_000634,1,credit_card,1,1235.02
ORD_000635,1,credit_card,5,731.82
ORD_000636,1,voucher,12,665.66
ORD_000637,1,credit_card,2,1095.13
ORD_000638,1,voucher,4,208.96
ORD_000639,1,debit_card,2,766.95
ORD_000640,1,credit_card,2,920.77
ORD_000641,1,voucher,12,64.22
ORD_000642,1,credit_card,4,672.85
ORD_000643,1,credit_card,3,727.85
ORD_000644,1,debit_card,1,431.71
ORD_000645,1,credit_card,12,400.51
ORD_000646,1,credit_card,1,825.47
ORD_000647,1,credit_card,1,2085.92
ORD_000648,1,credit_card,10,1241.7
ORD_000649,1,debit_card,1,384.45
ORD_000650,1,debit_card,5,1591.65
ORD_000651,1,credit_card,4,847.7
ORD_000652,1,debit_card,1,184.81
ORD_000653,1,credit_card,1,50.75
ORD_000654,1,boleto,5,235.24
ORD_000655,1,credit_card,10,658.74
ORD_000656,1,debit_card,1,789.87
ORD_000657,1,voucher,2,1024.22
ORD_000658,1,voucher,6,655.83
ORD_000659,1,credit_card,10,1112.47
ORD_000660,1,credit_card,10,1455.22
ORD_000661,1,debit_card,1,1592.16
ORD_000662,1,voucher,5,1575.6
ORD_000663,1,boleto,2,1252.63
ORD_000664,1,credit_card,2,1107.72
ORD_000665,1,voucher,6,1256.34
ORD_000666,1,credit_card,3,567.89
ORD_000667,1,voucher,1,398.51
ORD_000668,1,boleto,2,399.12
ORD_000669,1,credit_card,6,1163.52
ORD_000670,1,boleto,2,250.13
ORD_000671,1,credit_card,2,215.14
ORD_000672,1,voucher,10,25.86
ORD_000673,1,debit_card,1,782.01
ORD_000674,1,credit_card,3,269.18
ORD_000675,1,credit_card,1,251.89
ORD_000676,1,boleto,4,79.36
ORD_000677,1,credit_card,5,436.89
ORD_000678,1,voucher,12,469.71
ORD_000679,1,debit_card,10,455.84
ORD_000680,1,debit_card,5,201.57
ORD_000681,1,voucher,1,150.82
ORD_000682,1,credit_card,2,513.93
ORD_000683,1,debit_card,3,394.31
ORD_000684,1,boleto,1,526.85
ORD_000685,1,credit_card,10,875.16
ORD_000686,1,debit_card,1,390.38
ORD_000687,1,boleto,4,838.25
ORD_000688,1,credit_card,1,759.43
ORD_000689,1,voucher,1,43.03
ORD_000690,1,credit_card,4,1090.87
ORD_000691,1,credit_card,10,1195.59
ORD_000692,1,credit_card,2,819.99
ORD_000693,1,debit_card,3,279.25
ORD_000694,1,credit_card,3,745.03
ORD_000695,1,boleto,1,1185.71
ORD_000696,1,credit_card,1,1194.47
ORD_000697,1,debit_card,4,690.45
